LABEL,JOB\NOT JOB
"איך משבר האקלים השפיע על ענף הנדל""ן בישראל? וכיצד הבנייה הירוקה תוכל להילחם באתגר הסביבתי בעתיד הקרוב?

בפרק השלישי של הפודקאסט החדש ""מ-1000 ועד ת'"" של מתחם ה-1000 בהגשת עידן קוולר נעסוק בנושא סביבה ירוקה, פתרונות אקלים והצורך החיוני בתכנון עירוני עם ריאות ירוקות והצללה טבעית.

בפרק נארח את ד""ר אורי שרון מהפקולטה למשפטים באוניברסיטת בר אילן ואת ד""ר אורלי רונן, מומחית בתחום הקיימות המקומית, לשיח על עתיד ירוק ונקי יותר.

לחצו כאן והאזינו לפרק ההשלישי >> https://lnkd.in/eHPaefuk


",0
"
הטעות הכי מסוכנת של מחלקות HR היום היא לחפש שחיקה אצל מנהלים שמורידים הילוך.

כתבתי על זה בשבוע שעבר אבל אני יודעת שאוהבים פה גם מונחים מהספרות המקצועית... שם קוראים לזה ""תפקוד היפר-אקטיבי"". 

בשטח, המנהלים שלכם קוראים לזה ""עסקים כרגיל"".

והנה מחקר על ""עייפות החוסן"" בישראל שחושף את האמת המטרידה באמת -  במציאות שלנו, ובמיוחד אצל לוחמים שחוזרים מהשטח, עייפות לא נראית כמו מנהל שבוהה בקיר. היא נראית כמו מנהל על ספידים.

הם נוחתים במשרד, קובעים ישיבות באטרף, ודורשים שליטה של 200% על מדדים שפעם בכלל לא עניינו אותם.
האטרף הזה הוא השריון שלהם. תפקוד היתר נועד להשתיק את הפחד שאם הם יעצרו לנשום לשנייה, המערכת תסמן אותם כחלשים.

המחיר? מס קוגניטיבי מטורף. בזמן שמנהל צריך להשקיע 100% מכוח המעבד שלו בפיצוח הביזנס, הוא שורף חצי מהאנרגיה המנטלית רק על החזקת הפאסון ונרמול הכאוס בתוך הראש.

הגוף הוא חומרה, והוא לא פראייר. אי אפשר להריץ תוכנות כבדות על אובר-קלוקינג לנצח. הקריסה התפעולית של האנשים שלכם לא תודיע מראש, היא פשוט תקרה.

מנהלות HR, בואו נבדוק את השטח רגע, מי המנהל שהכי מדאיג אתכן כרגע - זה ששותק בישיבות, או זה ששולח מיילים ב-3 בבוקר כדי להוכיח שהכל רגיל?",0
"⭐⭐ בוגרי הנדסת חשמל מצטיינים, זה הזמן שלכם להתחיל לעצב את העתיד ⭐⭐

אנבידיה, חברת החומרה המובילה בעולם, מחפשת את המהנדסים הבאים שיתכננו את השבבים של העתיד.

באו ללמוד מהטובים ביותר איך להפוך לPhysical Design Engineer  ברמה הגבוהה ביותר וכיצד ניתן לשלב כלי AI בתהליך הפיתוח. 

הגשת קורות חיים וגיליון ציונים דרך הקישור 👇👇
https://lnkd.in/dvKrRDT6

#PhysicalDesign #BGU #TAU #Technion #AI #VLSI #Physical_Design

Yaniv Padeh Itzik Ben-Basat Inbal Hochner Hadar Tal",1
"יש דברים שעדיין מעצבנים בוידאו ב-AI. 
 
 העיקרי שבהם: אתה מתאר ב-ד-י-ו-ק מה שאתה רוצה, וזה פשוט לא יוצא.

קחו את הוידאו הזה לדוגמה. כמה פעמים אפשר לבקש שהבועה עם התמונה תעלה למעלה כמו בועה נורמלית בנוזל? ניסיתי כמה דרכים שונות - וזה הכי טוב שיצא 🙃 

מה שמעודד אותי זה שלפני שנתיים, יצירת תמונות ב-AI עשתה לנו בדיוק את אותו קטע. היום הרמה שם מטורפה, אז אין לי ספק שגם הוידאו יגיע לשם.

בינתיים, מה שמציל את המצב זה סוכן העריכה באפליקציה . במקום לשבור את הראש, אני פשוט כותב לו פידבק בשפה חופשית. הוא מנתח מה היה חסר בפרומפט ומשפר אותו כדי להגיע לתוצאה הרצויה.

החיסרון היחיד? עדיין צריך לחכות 5 דקות לכל גרסה מתוקנת עד שהמודל מסיים לרנדר. קצת מתיש אבל בסוף, יוצאת פרסומת חמודה. בסה״כ לקח בערך שעתיים (שזה גבוה מהממוצע בגלל הסצנה של הבועות).

 עוד יום, עוד פרסומת AI ריאליסטית למותג ישראלי. הפעם - Mey Eden Group - ISRAEL.

מה אתם אומרים על הסרטון? 



*דיסקליימר - הסרטון נוצר כקונספט יצירתי ולא בשיתוף עם מי עדן.",0
"לינקדאין: הורדנו את הכיתוב מליד הלייקים והתגובות, מסתבר שאתם מצלחים להבין את האייקון!

אני: יופי תודה, אפשר כזה שיהיה אפשר להדביק בפוסט תמונה מהקליפבורד? ואחרי שאני מדביקה אותה, אופציה לעשות קרופ?

לינקדאין: הוספנו לכם פיצ'ר של גיפים בתגובות! 

אני: תודה, עושה את זה עוד מלפני הפיצ'ר.. אפשר בבקשה שבעריכה של פוסט נוכל להחליף תמונה אחת בתמונה אחרת?

לינקדאין: הוספנו פיצ'ר של קונקטד אפפס בפרופיל!

אני: אוקי, אחלה מגניב תודה הוספתי, אבל אפשר שיהיה נגיד אופציה להעלות גם סרטונים וגם תמונות באותו הפוסט?

לינקדאין: ריכזנו לכם את כמות הלייקים, התגובות, השיתופים והשמירות באנליטיקות.

אני: אחלה.. ואפשר ללחוץ על זה בשביל לראות איזה פוסטים אנשים שמרו? 

לינקדאין:

אני:

לינקדאין: הוספנו עוד משחקי פאזלים!  

אני:",0
"הבעיה שלי מעולם לא הייתה נטוורקינג. הבעיה הייתה החלק שבו צריך להעמיד פנים שנהנים ממנו.

ניסיתי קבוצות נטוורקינג, BNI ודומיהן.

משום מה זה תמיד הרגיש לי קצת כמו קומונה.
מאולץ.
מחויך מדי.
 מחויב מדי.

ואז נפל לי האסימון.
אני בלינקדאין כבר 17 שנה.
מאז שהקמתי את העסק.

ורק אתמול הבנתי משהו די מצחיק:
לינקדאין היא קבוצת הנטוורקינג שלי.

בלי אילוצים.
בלי להגיע לפגישה בשבע בבוקר.
בלי לחייך כי “צריך”.
בלי קשר לאיפה אתה גר.

פשוט אנשים שמתחברים דרך תוכן, שיחות, סקרנות ואנרגיה.

ועל הדרך זכיתי להכיר אנשים שאני באמת שמחה שהם נכנסו לחיים שלי.:

Yoram Reshef 🎗️
צלם ומורה בחסד. מהאנשים שאני יכולה לדבר איתם שעות. כנראה שהצד האמנותי מחבר בינינו, אבל מרגיש שיש שם הרבה מעבר.

Yael Ben-David
חם חם מהתנור. קליק כבר מהפוסט הראשון. קבענו זום, ותוך חצי שעה הרגשנו כאילו אנחנו מכירות שנים. האמת? כבר בתחילת השיחה קבענו את הפגישה הבאה. אישה פשוט מהממת.

Erez Tal Shir
במשפט אחד: הלוואי שהבת שלי תביא כזה בחור הביתה.
 חכם, מכיל, מצחיק ועם לב ענק.
 אנחנו נפגשים אחת לשבועיים, ובכל פעם אני יוצאת עם אותה שאלה:
 אני המנטורית שלו… או שבעצם הוא שלי?

Bar Rhamim
אם יש מישהי שבזכותה הרגשתי בבית בלינקדאין, זו היא.
 ילדה חצופה, במובן הישראלי הכי מחמיא שיש.
באחת השיחות היא זרקה לי משפט שלא יוצא לי מהראש:
 “באנו לפה כדי להשיג מה שאנחנו רוצים.”
מאז אני חושבת עליו לא מעט.
 יזמית מהסוג שמזיז דברים.
אז כנראה שלא באמת שנאתי נטוורקינג.
פשוט חיפשתי את הנטוורקינג שמתאים לי.

ואם הגעתם עד לכאן, מסקרן אותי לדעת:
יש מישהו שהכרתם דרך לינקדאין והפך להרבה יותר מעוד חיבור מקצועי?
אם בא לכם, תייגו אותו.

 יש סיכוי טוב שהוא ישמח לגלות שהוא עשה לכם את הפיד… ואת היום. 💙

#LinkedIn #Networking #Community #Connections #PersonalBranding #BusinessRelationships #Entrepreneurship #HumanConnections #יזמות #נטוורקינג #לינקדאין #מיתוגאישי #קהילה",0
"Just opened an amazing new role!
A new kind of profession is forming right now: people who build and deploy AI for small businesses. They call themselves AI Implementers. No training path, no standard pricing, no playbook. The market is real and growing fast, and almost nothing about it is solved.
This is exactly the market HoneyBook was built for. We spent over a decade learning how independent service providers price, sell, and build trust. We've spent years streamlining the operations of more than 100,000 businesses, with software and in recent years with AI. We share the same mission as these AI Implementers which makes us the perfect partner for them. 
Apply if relevant.",1
"סטודנט להנדסת תעשייה וניהול, מנהל לשעבר ולוחם במילואים – רעב לאתגר הבא שלי 🎯
 היי חברים,
 רגע לפני שאני מסיים רשמית את התואר ב-B.Sc. בהנדסת תעשייה וניהול באוניברסיטת אריאל (בהתמחות מערכות מידע), הגיע הזמן לצאת לדרך המקצועית החדשה שלי. 
 
 בניגוד לתוכניות המקוריות, את מרבית שנות התואר שלי העברתי בג'אגלינג אינטנסיבי ולא פשוט בכלל בין ספסל הלימודים לבין שירות מילואים ממושך כלוחם צנחנים. התקופה החשובה הזו אמנם לא השאירה לי זמן פנוי למשרת סטודנט ""קלאסית"" בחברת הייטק, אבל השילוב של לחימה בחזית לצד לימודי הנדסה תובעניים היה בית הספר הכי טוב שיכולתי לבקש למשמעת עצמית, ניהול זמן, עבודה תחת לחץ קיצוני ותפקוד בתנאי חוסר ודאות.
 אבל אני ממש לא מגיע בלי ניסיון בעבודה עם אנשים, תקציבים ותהליכים.
 לפני הלימודים ניהלתי במשך שנתיים סניף אזורי של תנועת נוער (האיחוד החקלאי) במושב שדה ורבורג, בשיתוף מועצה אזורית דרום השרון. שם, בגיל צעיר, נזרקתי למים העמוקים של עולם הניהול:
✔️ הובלתי והכשרתי צוות של 15 עובדים.
✔️ ניהלתי תקציב שוטף, תכנון פיננסי והקצאת משאבים.
✔️ ניהלתי אופרציה מורכבת מול 200+ משתתפים ומול גורמי מועצה בכירים והורים.
 
 הניסיון הניהולי והפיקודי הזה לימד אותי איך לקחת אחריות, להוביל אנשים ולפתור בעיות מורכבות בשטח.
 
היום, יחד עם הכלים ההנדסיים והטכנולוגיים שרכשתי בתואר (Python, SQL, ניתוח נתונים, אופטימיזציה של תהליכים וניהול פרויקטים) – אני מגיע רעב במיוחד. אני לא מפחד מעבודה קשה, לומד מהר מאוד ומחפש מקום שבו אוכל לתרום ליעילות התפעולית ולשיפור תהליכים.
 
 מה אני מחפש?
תפקידי ג'וניור / התחלתיים בעולמות ה:
 🔹 PMO / Project Controller / בקרת פרויקטים
 🔹 Data / Business Analyst
 🔹 Junior Product Owner / יישום מערכות מידע
 
 📍אזור גיאוגרפי: אזור השרון והמרכז.
 
 אם אתם מכירים חברות שמחפשות אנשים חדים, עם ראש גדול, חוסן ואנרגיה גבוהה – אשמח מאוד לחיבורים, שיתופים או הצעות רלוונטיות.
 קורות החיים המלאים שלי מצורפים כאן 👇
#IndustrialEngineering #DataAnalyst #PMO #InformationSystems #Hiring #JobHunting #JobSearch ",1
"I’m #hiring. Know anyone who might be interested?

",1
"🚀 Exciting Opportunity for .NET Developers! 🚀

Company : NTT DATA
💼 Role: .NET Developer

🎯 Skills Required:
✔ .NET / C#
✔ SQL Server / Oracle
✔ JavaScript, HTML, XML
✔ Web Application Development
✔ Problem Solving & Analytical Skills

🏢 NTT DATA Services is hiring  talented .NET Developers to join its innovative team.

👇 Link Available in First Comment

📢 Apply Before Job expire.

Tag a friend who is looking for a .NET opportunity! 👇",1
